2023-04-15 08:06:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:06:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:06:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:06:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:06:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:06:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:06:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:06:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:09:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:09:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:09:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:09:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:09:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:09:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:09:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:09:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:09:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:09:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:09:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:09:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:12:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:12:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:12:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:12:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:12:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:12:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:12:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:12:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:12:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:12:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:12:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:12:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:15:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:15:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:15:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:15:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:15:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:15:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:15:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:15:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:15:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:15:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:15:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:15:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:18:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:18:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:18:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:18:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:18:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:18:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:18:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:18:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:18:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:18:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:18:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:18:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:21:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:21:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:21:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:21:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:21:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:21:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:21:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:21:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:21:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:21:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:21:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:21:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:24:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:24:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:24:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:24:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:24:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:24:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:24:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:24:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:24:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:24:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:24:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:24:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:27:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:27:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:27:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:27:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:27:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:27:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:27:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:27:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:27:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:27:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:27:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:27:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:30:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:30:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:30:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:30:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:30:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:30:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:30:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:30:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:30:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:30:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:30:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:30:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:33:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:33:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:33:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:33:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:33:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:33:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:33:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:33:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:33:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:33:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:33:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:33:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:36:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:36:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:36:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:36:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:36:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:36:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:36:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:36:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:36:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:36:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:36:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:36:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:39:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:39:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:39:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:39:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:39:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:39:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:39:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:39:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:39:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:39:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:39:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:39:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:42:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:42:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:42:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:42:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:42:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:42:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:42:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:42:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:42:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:42:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:42:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:42:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:45:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:45:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:45:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:45:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:45:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:45:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:45:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:45:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:45:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:45:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:45:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:45:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:48:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:48:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:48:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:48:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:48:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:48:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:48:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:48:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:48:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:48:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:48:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:48:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:51:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:51:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:51:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:51:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:51:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:51:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:51:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:51:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:51:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:51:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:51:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:51:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:54:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:54:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:54:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:54:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:54:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:54:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:54:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:54:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:54:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:54:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:54:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:54:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 08:57:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 08:57:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 08:57:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 08:57:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 08:57:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 08:57:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 08:57:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 08:57:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 08:57:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 08:57:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 08:57:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 08:57:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:00:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:00:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:00:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:00:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:00:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:00:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:00:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:00:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:00:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:00:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:00:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:00:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:03:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:03:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:03:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:03:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:03:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:03:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:03:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:03:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:03:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:03:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:03:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:03:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:06:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:06:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:06:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:06:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:06:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:06:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:06:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:06:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:06:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:06:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:06:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:06:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:09:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:09:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:09:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:09:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:09:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:09:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:09:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:09:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:09:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:09:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:09:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:09:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:12:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:12:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:12:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:12:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:12:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:12:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:12:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:12:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:12:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:12:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:12:02 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:12:02 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:15:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:15:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:15:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:15:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:15:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:15:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:15:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:15:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:15:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:15:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:15:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:15:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:18:03 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:18:03 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:18:03 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:18:03 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:18:03 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:18:03 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:18:03 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:18:03 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:18:03 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:18:03 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:18:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:18:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:21:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:21:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:21:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:21:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:21:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
2023-04-15 09:21:02 | [INFO] | (main.py).|main(73) | Number of open cash shifts - 0
2023-04-15 09:21:02 | [INFO] | (dbMysql.py).|get_last_workshift(42) | Date of the last closed cash shift - 279
2023-04-15 09:21:02 | [INFO] | (dbMysql.py).|get_last_workshift(65) | Getting data on the last closed cash shifts
2023-04-15 09:21:02 | [INFO] | (main.py).|main(88) | Number of closed cash shifts - 0
2023-04-15 09:21:02 | [WARNING] | (main.py).|main(89) | l_workshift - ()
2023-04-15 09:21:03 | [ERROR] | (request.py).|getQueryShop(62) | Expecting value: line 1 column 2 (char 1)
2023-04-15 09:21:03 | [INFO] | (main.py).|main(107) | Change in stores - None
2023-04-15 09:24:02 | [INFO] | (main.py).|main(54) | Start programs
2023-04-15 09:24:02 | [INFO] | (main.py).|main(55) | Current path /home/administrator
2023-04-15 09:24:02 | [INFO] | (db.py).|__init__(56) | Connect DB
2023-04-15 09:24:02 | [INFO] | (db.py).|__init__(59) | Start create DB
2023-04-15 09:24:02 | [INFO] | (db.py).|__init__(71) | Connect to MySql DB
